@relation 'actinopterygii'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute class hierarchical perciformes/pomacentridae/chromis/c-chrysura,perciformes/acanthuridae/acanthurus/a-nigrofuscus,perciformes/chaetodontidae/chaetodon/c-lunulatus,beryciformes/holocentridae/myripristis/m-kuntee,perciformes/chaetodontidae/chaetodon/c-trifascialis,perciformes/pomacentridae/dascyllus/d-reticulatus,perciformes/pomacentridae/plectroglyphidodon/p-dickii,perciformes/pomacentridae/amphiprion/a-clarkii,perciformes/acanthuridae/zebrasoma/z-scopas,perciformes/pomacentridae/neoglyphidodon/n-nigroris,perciformes/pomacentridae/dascyllus/d-aruanus,perciformes/pomacentridae/abudefduf/a-vaigiensis,perciformes/pempheridae/pempheris/p-vanicolensis,perciformes/labridae/hemigymnus/h-melapterus,perciformes/chaetodontidae/chaetodon/c-speculum

@data
0.127847,0.474974,0.921905,30.709089,0.862986,10.551342,123.019866,2.229473,3.720488,0.41378,0.710426,-0.549008,0.969598,0.930178,1.711143,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.221053,0.10512,0.948334,6.603157,0.948524,4.758133,26.603916,1.669311,2.519627,0.094917,0.335519,-0.720804,0.970333,0.952901,1.793897,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.123855,0.157087,0.973025,26.969757,0.928488,9.841053,108.336031,2.255794,3.44064,0.13637,0.428443,-0.730223,0.990396,0.973606,1.891556,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.085738,0.386162,0.9469,30.185927,0.848375,10.336539,121.002605,2.495281,4.052498,0.322527,0.699225,-0.565765,0.979348,0.948619,1.816612,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.151846,0.15138,0.968903,16.265205,0.937728,7.469321,65.375295,2.139857,3.246114,0.134976,0.391152,-0.743117,0.989178,0.972923,1.897685,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.239503,0.114994,0.942164,25.587166,0.942503,9.949522,102.85454,1.731094,2.612434,0.101871,0.356831,-0.702401,0.969992,0.95163,1.860472,beryciformes/holocentridae/myripristis/m-kuntee
0.303669,0.06624,0.945977,26.632776,0.96688,10.233153,107.10346,1.348212,2.0113,0.065305,0.243804,-0.760336,0.95665,0.948136,1.833512,beryciformes/holocentridae/myripristis/m-kuntee
0.316294,0.096673,0.958633,27.664542,0.951852,10.326114,111.205901,1.524704,2.297664,0.088208,0.317821,-0.723169,0.962251,0.960094,1.84217,beryciformes/holocentridae/myripristis/m-kuntee
0.275094,0.073228,0.954819,36.991961,0.963386,12.061474,148.647481,1.474202,2.200051,0.070546,0.261909,-0.765934,0.966873,0.959446,1.694349,beryciformes/holocentridae/myripristis/m-kuntee
0.313253,0.067048,0.959645,27.6315,0.966705,10.385143,111.107048,1.378651,2.057729,0.066006,0.245733,-0.769631,0.961143,0.964083,1.799853,beryciformes/holocentridae/myripristis/m-kuntee
0.33929,0.356414,0.939174,48.751668,0.884345,13.569627,195.497383,1.692277,2.823144,0.309018,0.627787,-0.577808,0.948227,0.956815,1.881865,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.32274,0.357859,0.939367,48.104702,0.878532,13.470549,192.901882,1.724524,2.873517,0.307973,0.641902,-0.566882,0.947115,0.953042,1.815737,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.178916,0.228746,0.970923,28.98368,0.897962,10.041289,116.332578,2.109,3.301081,0.192324,0.538011,-0.648394,0.978713,0.977104,1.735187,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.205563,0.163872,0.939828,39.532306,0.924864,12.387721,158.738607,1.799764,2.786175,0.141363,0.441245,-0.653203,0.965904,0.945991,1.745539,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.124734,0.383109,0.910429,21.883946,0.853732,8.918401,87.709098,2.245295,3.685337,0.321929,0.69081,-0.525186,0.963089,0.915931,1.814191,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.177935,0.205455,0.97602,20.820599,0.920915,8.164312,83.586234,2.016555,3.146877,0.179586,0.475493,-0.691428,0.981859,0.979707,1.821041,perciformes/pomacentridae/dascyllus/d-reticulatus
0.189831,0.113544,0.982074,16.31531,0.946241,7.283349,65.60193,1.912972,2.884826,0.102038,0.349687,-0.768141,0.986212,0.984639,1.925411,perciformes/pomacentridae/dascyllus/d-reticulatus
0.169344,0.116329,0.982644,14.912905,0.943956,6.831747,59.9613,1.994411,3.002116,0.103756,0.357164,-0.765273,0.987825,0.984338,1.804295,perciformes/pomacentridae/dascyllus/d-reticulatus
0.194496,0.135143,0.977467,29.967268,0.935389,10.417489,120.384046,1.908107,2.896481,0.118215,0.394251,-0.74822,0.984201,0.980412,1.784796,perciformes/pomacentridae/dascyllus/d-reticulatus
0.139542,0.161279,0.969813,15.966674,0.921919,7.323793,64.162177,2.131576,3.248848,0.137651,0.442341,-0.704919,0.985338,0.970419,1.845632,perciformes/pomacentridae/dascyllus/d-reticulatus
0.168768,0.091278,0.977154,17.632517,0.954582,7.939435,70.934029,1.918318,2.860559,0.084175,0.305538,-0.786261,0.987637,0.978942,1.786975,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.205997,0.086237,0.982781,21.220987,0.958782,8.683847,85.339476,1.834182,2.740469,0.081094,0.289837,-0.795254,0.98649,0.987394,1.836475,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.2308,0.19926,0.905815,15.394908,0.928277,7.604123,61.854651,1.670955,2.636105,0.176698,0.446383,-0.657524,0.961455,0.936784,1.777835,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.20067,0.127845,0.955188,12.966742,0.939242,6.825451,52.164737,1.833947,2.779201,0.112834,0.377371,-0.711495,0.976496,0.963132,1.870251,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.20718,0.124128,0.943994,24.953587,0.937936,9.797607,100.301595,1.786497,2.701497,0.108721,0.375069,-0.692959,0.971077,0.947482,1.732319,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.143436,0.407454,0.946494,22.037552,0.865937,8.570568,88.277439,2.238451,3.673026,0.350376,0.683985,-0.565582,0.972,0.950188,1.757568,perciformes/pomacentridae/amphiprion/a-clarkii
0.070605,0.949084,0.887494,20.253523,0.755648,8.04014,80.566541,2.536058,4.512316,0.823882,0.992709,-0.391593,0.942807,0.893193,1.684842,perciformes/pomacentridae/amphiprion/a-clarkii
0.181162,0.620108,0.901883,15.20478,0.810816,6.972358,60.633806,2.106647,3.640219,0.531097,0.846876,-0.460431,0.941624,0.913037,1.713119,perciformes/pomacentridae/amphiprion/a-clarkii
0.200518,0.336769,0.920669,13.27323,0.873903,6.709774,53.174535,1.964476,3.173932,0.285821,0.64219,-0.566547,0.958458,0.929162,1.726344,perciformes/pomacentridae/amphiprion/a-clarkii
0.312149,0.403419,0.958258,44.438559,0.86906,12.617949,178.138462,1.769004,2.944864,0.347676,0.677313,-0.564333,0.94934,0.96196,1.799631,perciformes/pomacentridae/amphiprion/a-clarkii
0.177547,0.118227,0.965735,8.076039,0.941051,5.071429,32.501916,1.885264,2.839265,0.104363,0.363613,-0.729545,0.980634,0.967683,1.812863,perciformes/acanthuridae/zebrasoma/z-scopas
0.260434,0.163425,0.960129,13.449464,0.928214,6.784038,54.057456,1.671335,2.598771,0.14233,0.433958,-0.674294,0.963793,0.967046,1.75845,perciformes/acanthuridae/zebrasoma/z-scopas
0.207394,0.167277,0.969308,18.676691,0.922106,8.01915,75.039707,1.779261,2.753842,0.143476,0.448923,-0.681851,0.970618,0.973283,1.789647,perciformes/acanthuridae/zebrasoma/z-scopas
0.166605,0.168216,0.975122,33.150274,0.92683,10.943526,133.115875,2.039965,3.139661,0.14635,0.439908,-0.715218,0.984718,0.976691,1.907817,perciformes/acanthuridae/zebrasoma/z-scopas
0.158837,0.20842,0.963265,22.20459,0.918292,8.83301,89.161028,2.112769,3.309068,0.181329,0.484376,-0.692845,0.984906,0.967904,1.93129,perciformes/acanthuridae/zebrasoma/z-scopas
0.24903,0.369687,0.964175,18.584534,0.875131,7.359262,74.427426,1.959992,3.213653,0.317951,0.652555,-0.58833,0.965062,0.96823,1.817506,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.198892,0.230153,0.970379,17.013806,0.902901,7.277983,68.278969,2.132476,3.343278,0.195759,0.529213,-0.662918,0.981668,0.972558,1.802136,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.13232,0.277778,0.960155,19.037543,0.868924,7.918403,76.366319,2.272262,3.582624,0.227214,0.601604,-0.604534,0.97731,0.964326,1.815457,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.320638,0.235957,0.967228,12.741231,0.906923,6.078134,51.107872,1.812849,2.888322,0.202991,0.525942,-0.633916,0.96513,0.971709,1.765597,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.192555,0.285951,0.977603,27.250872,0.90768,9.167389,109.289521,2.013252,3.207973,0.251315,0.541188,-0.678079,0.981216,0.978533,1.802766,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.092163,0.84933,0.903977,22.31706,0.837673,8.491629,88.948661,2.444499,4.158038,0.763672,0.832395,-0.545144,0.977584,0.909195,1.758526,perciformes/pomacentridae/dascyllus/d-aruanus
0.146511,0.524026,0.94948,14.490981,0.867996,6.131962,57.82217,2.255868,3.70806,0.463159,0.70537,-0.585728,0.976547,0.951652,1.720168,perciformes/pomacentridae/dascyllus/d-aruanus
0.165131,0.393988,0.958387,13.065347,0.881159,5.804067,52.229178,2.18118,3.553197,0.343742,0.645754,-0.611256,0.977849,0.959218,1.769063,perciformes/pomacentridae/dascyllus/d-aruanus
0.08491,0.650253,0.939263,27.743458,0.850325,9.494949,110.916035,2.506549,4.181184,0.577099,0.776104,-0.571861,0.982274,0.942221,1.752472,perciformes/pomacentridae/dascyllus/d-aruanus
0.133723,0.242966,0.983053,23.061532,0.908296,8.004435,92.502464,2.289907,3.597317,0.21026,0.526241,-0.710071,0.990427,0.983231,1.776154,perciformes/pomacentridae/dascyllus/d-aruanus
0.133291,0.358058,0.898693,41.868032,0.85365,12.696296,167.906612,2.084233,3.420635,0.2978,0.67656,-0.493014,0.945168,0.902858,1.88216,perciformes/pomacentridae/abudefduf/a-vaigiensis
0.181105,0.201786,0.916653,44.821484,0.903141,13.238971,179.910609,1.871781,2.919651,0.168645,0.505365,-0.583233,0.953745,0.935225,1.861391,perciformes/pomacentridae/abudefduf/a-vaigiensis
0.139393,0.568711,0.825453,45.300127,0.813231,13.24806,181.458824,1.996321,3.495239,0.482834,0.825554,-0.373221,0.893793,0.835227,1.702824,perciformes/pomacentridae/abudefduf/a-vaigiensis
0.109309,0.511803,0.903278,37.134757,0.807003,11.776721,148.762295,2.214647,3.749379,0.425707,0.800861,-0.456368,0.943961,0.914695,1.854829,perciformes/pomacentridae/abudefduf/a-vaigiensis
0.113443,0.552571,0.921753,37.059378,0.820501,11.612,148.409714,2.243633,3.737179,0.470482,0.804812,-0.496837,0.956795,0.930709,1.684428,perciformes/pomacentridae/abudefduf/a-vaigiensis
0.143491,0.45979,0.932714,25.568584,0.898959,9.444406,102.403846,2.178659,3.56286,0.414867,0.601814,-0.652316,0.983984,0.963874,1.789783,perciformes/pempheridae/pempheris/p-vanicolensis
0.1657,0.289566,0.975808,21.396965,0.927319,7.882948,85.790001,2.128006,3.343423,0.263403,0.470583,-0.734826,0.98966,0.983496,1.89111,perciformes/pempheridae/pempheris/p-vanicolensis
0.17789,0.122265,0.981233,28.403277,0.954923,10.060383,114.118641,1.958775,2.98162,0.114014,0.321106,-0.811665,0.991451,0.983241,1.836915,perciformes/pempheridae/pempheris/p-vanicolensis
0.346668,0.09893,0.992085,32.327822,0.968131,10.244618,129.851671,1.423654,2.160622,0.097186,0.252235,-0.83749,0.977516,1,1.767381,perciformes/pempheridae/pempheris/p-vanicolensis
0.13533,0.315594,0.958952,17.043778,0.886487,7.297495,68.314635,2.188175,3.527361,0.270779,0.608465,-0.626679,0.979803,0.961345,1.81072,perciformes/pempheridae/pempheris/p-vanicolensis
0.365263,0.084198,0.963415,33.542386,0.963038,11.413985,134.797743,1.41853,2.141094,0.080914,0.273341,-0.773061,0.965746,0.965471,1.828352,perciformes/labridae/hemigymnus/h-melapterus
0.372756,0.039633,0.962309,19.413528,0.980183,8.723261,78.158705,1.145784,1.69265,0.04535,0.166776,-0.82466,0.95237,0.966951,1.823601,perciformes/labridae/hemigymnus/h-melapterus
0.324228,0.066153,0.947628,18.607926,0.967167,8.510958,74.89651,1.276027,1.908867,0.065341,0.243332,-0.754315,0.949166,0.949157,1.792313,perciformes/labridae/hemigymnus/h-melapterus
0.356963,0.048706,0.957522,19.172229,0.975647,8.656542,77.180266,1.193144,1.770049,0.052154,0.194687,-0.80345,0.952459,0.967299,1.811117,perciformes/labridae/hemigymnus/h-melapterus
0.274404,0.097455,0.933332,17.612631,0.951273,8.248727,70.867636,1.452791,2.193389,0.088716,0.319454,-0.694688,0.950345,0.937949,1.80034,perciformes/labridae/hemigymnus/h-melapterus
0.142331,0.132166,0.983363,24.06543,0.942227,8.996352,96.690848,2.22438,3.366859,0.118215,0.374928,-0.775508,0.992947,0.987918,1.823775,perciformes/chaetodontidae/chaetodon/c-speculum
0.178197,0.161236,0.978864,32.262803,0.940025,10.698689,129.557667,2.064163,3.178436,0.145185,0.395941,-0.754917,0.989349,0.983529,1.816576,perciformes/chaetodontidae/chaetodon/c-speculum
0.173424,0.166826,0.973627,38.153372,0.934294,11.861803,153.187048,2.038238,3.142736,0.148141,0.417542,-0.733469,0.986787,0.979545,1.81066,perciformes/chaetodontidae/chaetodon/c-speculum
0.168996,0.173799,0.97421,36.816831,0.931948,11.597981,147.817424,2.06659,3.190722,0.153846,0.427957,-0.729309,0.987084,0.979401,1.805775,perciformes/chaetodontidae/chaetodon/c-speculum
0.14335,0.140244,0.98234,29.521621,0.942371,10.140854,118.579065,2.194508,3.334429,0.126042,0.378337,-0.773431,0.992513,0.985411,1.825464,perciformes/chaetodontidae/chaetodon/c-speculum
0.155867,0.543842,0.923813,14.022517,0.898359,6.497596,55.951351,2.121914,3.430786,0.496194,0.603922,-0.648041,0.981177,0.966552,1.852607,perciformes/pomacentridae/chromis/c-chrysura
0.240001,0.147216,0.965085,21.817923,0.927994,8.910374,87.680397,1.702433,2.610826,0.126704,0.41832,-0.683974,0.966291,0.975703,1.725414,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.133278,0.154101,0.972802,26.068958,0.92964,9.672,104.725253,2.228101,3.395908,0.133989,0.423487,-0.731062,0.989958,0.973219,1.912121,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.36601,0.075843,0.948316,29.590113,0.962079,10.77488,118.957063,1.301893,1.954077,0.072507,0.268496,-0.737404,0.947614,0.951389,1.800089,beryciformes/holocentridae/myripristis/m-kuntee
0.089089,0.683673,0.900909,18.902423,0.798819,7.89323,75.418367,2.431091,4.194724,0.587302,0.879365,-0.471348,0.961635,0.967805,1.78249,perciformes/chaetodontidae/chaetodon/c-trifascialis
0.12263,0.269591,0.939438,11.329851,0.882749,6.065848,45.427953,2.191383,3.480202,0.225128,0.588203,-0.597237,0.973837,0.942445,1.842674,perciformes/pomacentridae/chromis/c-chrysura
0.480557,0.048184,0.94744,31.795723,0.975908,11.227205,127.835434,1.051659,1.565407,0.051763,0.193133,-0.771137,0.927251,0.950977,1.738376,beryciformes/holocentridae/myripristis/m-kuntee
0.176626,0.088363,0.975578,15.05737,0.95708,7.310886,60.597072,1.858942,2.776617,0.082423,0.296978,-0.791061,0.986703,0.982219,1.749037,perciformes/pomacentridae/dascyllus/d-reticulatus
0.212482,0.144305,0.970336,11.482658,0.93442,6.048,46.163352,1.9925,3.032635,0.126596,0.402737,-0.719306,0.983283,0.974361,1.93559,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.244455,0.103743,0.978599,20.006407,0.949437,8.417575,80.447008,1.806534,2.717145,0.093977,0.332135,-0.761731,0.982175,0.984102,1.787943,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.216596,0.145882,0.93107,21.570771,0.927059,9.089412,86.704314,1.761457,2.687128,0.125037,0.4155,-0.653551,0.962477,0.948886,1.841612,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.131962,0.160342,0.971606,32.172931,0.926334,10.866277,129.20955,2.157187,3.296895,0.138592,0.435055,-0.719561,0.987629,0.975099,1.821272,beryciformes/holocentridae/myripristis/m-kuntee
0.107985,0.15469,0.982615,29.889757,0.93104,10.119046,120.035804,2.37914,3.614304,0.135145,0.419986,-0.756467,0.993826,0.983502,1.849367,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.204981,0.124417,0.972664,24.357425,0.939889,9.429487,97.893648,1.819878,2.758711,0.109812,0.374389,-0.731192,0.978978,0.975289,1.794578,perciformes/pomacentridae/dascyllus/d-reticulatus
0.243057,0.092162,0.969861,12.649733,0.954243,6.700811,50.924595,1.624801,2.438113,0.084882,0.307497,-0.753979,0.973496,0.971875,1.801914,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.177468,0.054717,0.989813,26.937376,0.973425,9.880451,108.31134,1.894887,2.792695,0.056989,0.209862,-0.863168,0.992776,0.991164,1.9248,perciformes/pomacentridae/dascyllus/d-reticulatus
0.137916,0.111211,0.990274,22.445472,0.958312,8.211236,90.182901,2.198587,3.2962,0.104902,0.302945,-0.831858,0.995417,0.990671,1.814491,perciformes/pomacentridae/dascyllus/d-reticulatus
0.142968,0.127513,0.97995,14.865932,0.938951,6.868248,59.764506,2.189145,3.299162,0.112388,0.379619,-0.764282,0.991519,0.98008,1.902858,perciformes/pomacentridae/amphiprion/a-clarkii
0.263213,0.160985,0.981219,32.767911,0.952587,10.704957,131.578741,1.700936,2.623812,0.150245,0.341929,-0.776234,0.981914,0.987574,1.749858,perciformes/pomacentridae/chromis/c-chrysura
0.289919,0.153368,0.961104,16.474875,0.926957,7.647907,66.223149,1.565022,2.421691,0.132168,0.427351,-0.662588,0.953541,0.968795,1.848048,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.295697,0.084335,0.982514,44.398448,0.95827,12.99071,178.320401,1.545967,2.31748,0.079059,0.28896,-0.781947,0.974155,0.984336,1.813371,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.14727,0.164406,0.983551,22.529309,0.929267,8.405472,90.477195,2.140126,3.279633,0.143713,0.43166,-0.745182,0.989779,0.987228,1.847161,perciformes/pomacentridae/dascyllus/d-reticulatus
0.514441,0.07537,0.944396,35.137443,0.963181,11.771727,141.20916,1.160324,1.75468,0.072513,0.265904,-0.72272,0.928824,0.95059,1.881374,beryciformes/holocentridae/myripristis/m-kuntee
0.486358,0.131837,0.950073,31.593733,0.939959,11.03551,126.931837,1.320653,2.055109,0.116952,0.381536,-0.664059,0.932936,0.955693,1.830345,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.109439,0.476749,0.922724,23.971599,0.838253,9.17168,95.981902,2.347007,3.92633,0.405256,0.754126,-0.514715,0.966545,0.942783,1.781773,perciformes/pomacentridae/chromis/c-chrysura
0.237592,0.101058,0.945518,5.52035,0.949471,4.31746,22.249206,1.615841,2.432224,0.091419,0.327402,-0.715591,0.966164,0.948291,1.729749,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.309837,0.376247,0.93728,38.554713,0.87715,11.956898,154.588933,1.796137,3.002101,0.325008,0.650491,-0.54523,0.94585,0.943438,1.712809,perciformes/pomacentridae/amphiprion/a-clarkii
0.226199,0.104248,0.968187,32.19448,0.949435,11.086757,129.365617,1.69559,2.558417,0.094461,0.33279,-0.744706,0.975681,0.973029,1.878547,perciformes/acanthuridae/acanthurus/a-nigrofuscus
0.173186,0.426923,0.911546,21.04755,0.843846,8.664744,84.303846,2.100514,3.482265,0.359696,0.725548,-0.50223,0.95038,0.920648,1.724932,perciformes/pomacentridae/amphiprion/a-clarkii
0.312373,0.089762,0.937653,18.825411,0.955119,8.541374,75.744741,1.407099,2.119777,0.082946,0.301986,-0.707645,0.949666,0.93957,1.902088,beryciformes/holocentridae/myripristis/m-kuntee
0.187629,0.175647,0.964768,28.817805,0.928776,10.292846,115.7379,1.999352,3.101238,0.154286,0.43928,-0.704456,0.9827,0.969942,1.776322,perciformes/pomacentridae/chromis/c-chrysura
0.14205,0.215757,0.965791,23.426969,0.903911,9.036463,94.055923,2.199051,3.42122,0.182355,0.519372,-0.661049,0.982797,0.969778,1.717803,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.14004,0.301669,0.938776,30.525911,0.881001,10.626016,122.465126,2.12925,3.444041,0.255141,0.612258,-0.577742,0.969057,0.954317,1.809226,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.235749,0.267718,0.910173,32.094742,0.911762,11.095525,128.803744,1.808074,2.934385,0.235448,0.525109,-0.623004,0.964219,0.927611,1.77146,beryciformes/holocentridae/myripristis/m-kuntee
0.196365,0.152276,0.946353,33.04967,0.926688,11.279435,132.750392,1.907188,2.918267,0.13101,0.426354,-0.67093,0.97338,0.95152,1.795069,beryciformes/holocentridae/myripristis/m-kuntee
0.243296,0.262472,0.93785,27.344198,0.904819,10.077664,109.743197,1.810809,2.930723,0.227501,0.543196,-0.595805,0.95752,0.95273,1.737977,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.16128,0.133991,0.981953,16.894467,0.941668,7.29273,67.898697,2.007708,3.050103,0.119742,0.376894,-0.756066,0.987657,0.984119,1.92893,perciformes/pomacentridae/dascyllus/d-reticulatus
0.36275,0.241758,0.942167,28.549884,0.939637,10.31906,114.601743,1.418323,2.277727,0.222458,0.412691,-0.685156,0.9523,0.970149,1.832199,perciformes/pomacentridae/chromis/c-chrysura
0.163588,0.524823,0.912454,10.627491,0.828407,5.55577,42.331399,2.165994,3.626993,0.447121,0.790058,-0.491844,0.951901,0.92753,1.6577,perciformes/pomacentridae/amphiprion/a-clarkii
0.232902,0.088548,0.956522,24.082852,0.955726,9.636364,96.844156,1.646696,2.464227,0.082036,0.299165,-0.754287,0.974382,0.962079,1.699936,beryciformes/holocentridae/myripristis/m-kuntee
0.165707,0.286909,0.948753,18.024275,0.895421,7.835091,72.298909,2.21657,3.519818,0.24717,0.570549,-0.632306,0.980511,0.949052,1.887916,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.176894,0.216512,0.975277,27.334892,0.924992,9.613772,109.722943,2.029332,3.180795,0.19189,0.4672,-0.724777,0.986458,0.976764,1.744008,perciformes/pomacentridae/chromis/c-chrysura
0.178389,0.080952,0.990105,34.951208,0.96216,11.141712,140.41926,1.977894,2.946949,0.077437,0.274704,-0.830712,0.992377,0.991079,1.885542,perciformes/pomacentridae/dascyllus/d-reticulatus
0.161955,0.169147,0.957865,22.665508,0.921974,9.121528,91.062004,2.046754,3.145216,0.145213,0.450088,-0.684271,0.980841,0.962604,1.812967,perciformes/pomacentridae/dascyllus/d-reticulatus
0.177044,0.108731,0.973269,10.037629,0.946715,5.689469,40.3964,1.874636,2.818148,0.097623,0.342911,-0.754273,0.983386,0.976631,1.890894,perciformes/pomacentridae/dascyllus/d-reticulatus
0.146535,0.237132,0.942372,26.038572,0.899355,9.825358,104.530264,2.108715,3.318115,0.200946,0.539689,-0.619448,0.974211,0.951826,1.935103,perciformes/pomacentridae/amphiprion/a-clarkii
0.254958,0.158904,0.960569,13.463686,0.926888,6.798434,54.119765,1.683268,2.604095,0.137445,0.433081,-0.669354,0.962906,0.966563,1.718156,perciformes/acanthuridae/zebrasoma/z-scopas
0.173194,0.075914,0.986482,19.137631,0.962319,8.113247,76.980709,1.94387,2.882331,0.072676,0.268509,-0.822782,0.991064,0.989198,1.842144,perciformes/pomacentridae/plectroglyphidodon/p-dickii
0.246697,0.139987,0.951161,17.847796,0.930772,8.134247,71.75861,1.696956,2.593361,0.120934,0.405518,-0.672934,0.963291,0.956,1.747728,perciformes/pomacentridae/neoglyphidodon/n-nigroris
0.123315,0.651148,0.914371,32.919459,0.83738,10.823342,131.702168,2.29075,3.917778,0.572545,0.80666,-0.514848,0.966375,0.934064,1.720977,perciformes/chaetodontidae/chaetodon/c-lunulatus
0.089914,0.407609,0.928364,22.861303,0.842558,8.979167,91.597826,2.466799,4.0416,0.34067,0.716895,-0.533416,0.973207,0.929715,1.877907,perciformes/chaetodontidae/chaetodon/c-lunulatus
