@RELATION 'Hglass_discretizado'

@ATTRIBUTE 'ri' numeric
@ATTRIBUTE 'na' numeric
@ATTRIBUTE 'mg' numeric
@ATTRIBUTE 'al' numeric
@ATTRIBUTE 'si' numeric
@ATTRIBUTE 'k' numeric
@ATTRIBUTE 'ca' numeric
@ATTRIBUTE 'ba' numeric
@ATTRIBUTE 'fe' numeric
@ATTRIBUTE class hierarchical g/w/b/f,g/w/b/n/f,g/w/v,g/n/w/c,g/n/w/t,g/n/w/h

@DATA
31,79,103,78,42,116,9,71,77,g/w/b/n/f
58,43,102,58,88,74,38,72,121,g/w/b/f
12,18,70,81,113,117,16,72,136,g/w/b/f
16,22,102,88,86,113,14,72,140,g/w/b/f
54,7,42,92,77,120,100,73,66,g/w/b/n/f
41,27,79,68,90,118,21,123,139,g/w/b/n/f
6,121,46,112,35,125,6,73,66,g/w/b/n/f
68,20,74,58,82,113,70,74,67,g/w/b/f
69,42,122,18,100,69,32,75,122,g/w/b/n/f
28,42,101,76,70,101,11,80,68,g/w/b/n/f
15,59,53,68,105,50,21,75,66,g/w/b/n/f
92,90,84,9,50,37,80,128,138,g/w/v
58,16,63,33,113,91,64,76,69,g/w/b/f
8,110,40,117,2,127,2,134,70,g/n/w/c
58,58,115,46,49,78,20,76,71,g/w/b/f
64,49,74,46,73,100,49,76,71,g/w/b/f
110,57,114,23,61,59,51,68,72,g/w/b/n/f
58,10,72,62,131,98,58,76,108,g/w/b/f
79,57,107,18,70,81,40,123,127,g/w/b/n/f
58,66,102,22,103,84,18,76,73,g/w/b/f
15,50,101,72,105,118,9,77,74,g/w/b/n/f
29,125,14,116,72,5,105,131,75,g/n/w/h
56,45,86,96,59,60,45,78,110,g/w/b/f
116,133,36,111,4,121,116,79,75,g/n/w/h
103,94,102,22,23,27,102,81,76,g/w/b/f
59,93,112,20,65,29,62,99,88,g/w/v
79,74,128,54,40,55,25,108,93,g/w/b/n/f
79,91,128,43,22,61,28,120,145,g/w/b/n/f
88,89,106,19,49,36,74,119,101,g/w/b/f
10,64,68,33,59,72,58,119,103,g/w/b/f
113,119,123,3,16,30,109,119,103,g/w/b/f
119,97,115,3,14,27,121,117,125,g/w/b/f
9,105,8,116,116,35,103,133,105,g/n/w/h
91,56,50,46,38,98,96,121,121,g/w/b/f
112,117,121,15,11,42,97,122,146,g/w/v
124,1,6,114,1,88,133,136,143,g/w/b/n/f
107,49,108,14,36,41,118,119,125,g/w/b/f
73,128,37,90,39,7,101,115,104,g/n/w/t
85,81,124,40,46,79,19,114,122,g/w/b/n/f
84,136,28,98,45,13,120,103,94,g/n/w/t
74,61,130,64,37,65,28,104,117,g/w/b/n/f
117,66,97,11,25,32,123,105,106,g/w/b/f
36,88,91,68,42,114,9,106,97,g/w/b/n/f
58,10,81,67,111,78,56,107,98,g/w/b/f
3,39,72,22,86,107,31,107,144,g/w/b/f
33,48,60,41,92,56,59,101,100,g/w/v
52,34,74,53,96,72,43,109,101,g/w/b/f
58,24,113,44,91,96,58,109,103,g/w/b/f
56,62,104,39,101,66,14,109,95,g/w/b/f
105,123,129,13,13,11,106,110,102,g/w/v
62,58,59,53,64,89,60,112,98,g/w/b/f
108,4,33,84,75,51,128,113,96,g/n/w/c
69,96,130,78,19,59,19,116,124,g/w/b/n/f
124,13,21,7,26,21,133,111,99,g/w/b/n/f
58,26,86,69,62,58,49,109,130,g/w/b/f
58,39,86,33,88,115,52,109,69,g/w/b/f
110,100,29,59,32,46,126,102,66,g/w/b/n/f
32,135,17,109,108,12,68,133,32,g/n/w/h
64,20,65,29,80,107,72,121,144,g/w/b/f
107,51,99,14,33,41,118,119,125,g/w/b/f
93,101,39,28,63,13,117,118,16,g/n/w/t
7,133,17,116,140,2,36,131,17,g/n/w/h
109,82,115,14,25,39,111,67,110,g/w/b/f
55,135,26,104,87,12,63,133,17,g/n/w/h
99,107,29,92,15,48,124,37,129,g/w/b/n/f
19,37,66,68,98,50,23,19,18,g/w/b/n/f
79,50,130,30,42,95,42,19,18,g/w/b/n/f
58,106,102,58,59,52,8,20,19,g/w/b/f
46,65,107,74,46,116,9,21,143,g/w/b/n/f
120,137,32,51,4,44,63,133,20,g/n/w/h
47,135,20,111,99,10,39,133,20,g/n/w/h
40,133,17,111,106,10,26,133,20,g/n/w/h
5,46,18,117,5,129,5,22,21,g/n/w/c
50,42,71,103,58,116,19,68,66,g/w/b/n/f
53,131,22,116,123,8,86,131,23,g/n/w/h
86,89,55,39,29,91,83,24,24,g/w/b/f
95,12,23,93,141,47,130,25,25,g/n/w/c
71,11,42,12,142,46,104,26,131,g/w/b/n/f
24,135,24,116,127,5,71,131,26,g/n/w/h
88,106,115,26,29,23,81,27,27,g/w/b/f
35,125,17,111,138,5,48,133,28,g/n/w/h
49,31,100,49,47,105,76,36,29,g/w/v
118,78,52,36,41,97,79,28,30,g/n/w/h
102,88,34,95,32,57,110,130,127,g/w/b/n/f
78,122,49,116,9,126,1,133,15,g/n/w/h
71,96,2,5,144,3,126,29,14,g/w/b/n/f
58,8,41,46,139,70,91,30,134,g/w/b/f
41,40,46,38,85,88,77,31,133,g/w/b/n/f
14,36,63,62,122,119,12,32,134,g/w/b/f
122,104,46,25,8,26,124,33,14,g/w/b/n/f
124,102,46,7,6,26,131,33,7,g/w/b/n/f
104,38,27,71,130,33,128,34,142,g/n/w/c
58,32,90,42,115,58,33,35,125,g/w/b/f
37,5,8,32,146,128,84,18,2,g/n/w/h
27,114,8,116,48,25,99,133,2,g/n/w/h
103,92,131,19,16,23,72,27,3,g/w/b/f
58,10,102,50,126,89,49,17,3,g/w/b/f
17,47,89,78,107,120,9,10,4,g/w/b/n/f
46,23,79,78,128,116,9,2,4,g/w/b/n/f
101,125,11,111,132,2,46,133,5,g/n/w/h
58,14,88,48,101,102,70,3,123,g/w/b/f
121,80,12,86,34,45,132,4,6,g/n/w/c
58,54,102,17,118,74,22,5,8,g/w/b/f
58,82,115,26,88,91,10,5,13,g/w/b/f
50,37,105,85,83,106,17,6,9,g/w/b/n/f
111,99,125,8,14,39,115,7,10,g/w/b/f
15,50,79,80,77,118,13,8,115,g/w/b/n/f
64,16,113,24,109,104,70,9,10,g/w/b/f
88,106,81,53,18,54,74,126,10,g/w/b/f
97,103,95,53,14,32,67,132,10,g/w/b/f
43,33,12,107,143,124,122,11,11,g/n/w/c
28,69,93,85,77,103,9,16,12,g/w/b/n/f
83,37,110,82,46,86,57,12,122,g/w/b/n/f
50,98,114,105,28,112,9,12,12,g/w/b/n/f
102,100,38,66,24,53,119,12,127,g/w/b/n/f
13,134,114,99,19,38,6,12,122,g/w/b/n/f
71,76,130,27,44,83,17,12,31,g/w/b/n/f
2,95,47,106,69,128,1,133,32,g/n/w/h
115,116,123,11,10,6,113,13,65,g/w/b/f
122,96,16,59,8,40,133,14,119,g/w/b/n/f
71,67,126,40,66,57,17,14,33,g/w/b/n/f
39,73,58,45,50,56,65,15,50,g/w/v
58,24,92,58,93,109,60,17,51,g/w/b/f
7,137,1,116,136,14,30,131,52,g/n/w/h
89,19,33,107,55,93,122,38,53,g/n/w/c
94,132,117,1,25,19,89,52,54,g/w/b/f
79,61,118,52,42,88,40,39,55,g/w/b/n/f
122,3,13,10,114,17,133,53,55,g/w/b/n/f
109,86,127,14,16,43,107,54,121,g/w/b/f
18,133,11,116,125,14,73,131,116,g/n/w/h
5,41,10,117,7,129,5,55,56,g/n/w/c
124,1,9,10,102,15,133,56,57,g/w/b/n/f
113,119,123,3,16,30,109,57,58,g/w/b/f
58,26,78,22,120,66,58,57,58,g/w/b/f
79,27,114,40,46,108,69,58,145,g/w/b/n/f
34,74,87,40,68,118,17,58,59,g/w/b/n/f
20,137,8,116,97,20,79,131,60,g/n/w/h
44,37,103,40,61,69,61,58,61,g/w/b/n/f
13,52,61,87,119,24,37,60,129,g/w/b/n/f
123,108,115,8,14,19,118,67,118,g/w/b/f
75,125,8,106,76,126,3,135,62,g/n/w/h
91,112,99,60,29,72,27,61,63,g/w/b/f
22,105,32,102,106,12,66,133,64,g/n/w/h
111,124,125,14,12,36,98,61,65,g/w/b/f
72,34,74,46,80,94,43,61,65,g/w/b/f
106,2,30,84,133,82,130,62,49,g/n/w/c
96,130,5,4,135,1,127,63,48,g/n/w/t
25,44,77,68,77,99,17,64,47,g/w/b/n/f
31,72,75,72,51,118,15,64,117,g/w/b/n/f
67,85,56,91,20,75,76,65,113,g/w/v
114,127,4,16,51,28,129,66,111,g/w/b/n/f
64,16,86,56,80,76,72,52,41,g/w/b/f
51,120,3,111,127,14,63,133,34,g/n/w/h
56,22,104,46,67,91,70,59,35,g/w/b/f
70,77,45,31,71,66,89,52,35,g/w/b/f
45,60,94,61,56,73,47,44,120,g/w/v
100,70,15,63,34,45,132,40,36,g/n/w/c
86,84,74,58,21,62,89,41,37,g/w/b/f
62,58,43,46,86,54,89,41,114,g/w/b/f
87,109,39,83,39,9,108,42,38,g/n/w/t
9,125,22,116,104,20,94,131,39,g/n/w/h
90,115,25,113,60,4,125,42,40,g/n/w/t
79,47,107,18,37,110,95,43,124,g/w/b/n/f
15,47,96,70,110,120,9,43,42,g/w/b/n/f
15,61,69,66,112,103,9,43,47,g/w/b/n/f
28,9,73,108,117,110,15,43,115,g/w/b/n/f
41,37,85,89,81,110,9,45,131,g/w/b/n/f
48,67,85,87,46,118,17,51,42,g/w/b/n/f
82,56,57,26,57,74,78,46,125,g/w/b/f
61,87,62,73,27,85,76,47,43,g/w/v
60,29,72,37,84,100,58,124,132,g/w/b/f
81,69,64,66,35,55,61,48,44,g/w/b/n/f
52,71,76,22,73,54,41,49,45,g/w/b/f
27,118,20,116,134,20,90,131,112,g/n/w/h
26,86,86,79,88,49,8,49,45,g/w/b/f
58,24,86,35,118,87,35,49,45,g/w/b/f
21,75,60,34,54,90,29,50,46,g/w/v
15,30,79,114,51,118,9,51,47,g/w/b/n/f
23,107,79,40,77,46,9,51,122,g/w/b/n/f
48,15,46,97,114,120,55,23,22,g/w/b/n/f
80,113,35,94,53,1,101,100,94,g/n/w/t
