@relation 'instrument'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute class hierarchical aerophone/wood/clarinet,aerophone/wood/flute,membranophone/bimembranophone/bassdrum,aerophone/wood/oboe,aerophone/brass/trombone,idiophone/metal/crotale,membranophone/unimembranophone/tambourine,idiophone/fibrousmaterial/marimba,aerophone/brass/tuba,aerophone/wood/saxophone,aerophone/wood/bassoon,chordophone/pizzicato/guitar,aerophone/brass/horn,idiophone/fibrousmaterial/xylophone,eletrophone/electroacoustic/electricguitar,eletrophone/electronic/keyboard,idiophone/metal/gong,chordophone/pizzicato/mandolin,chordophone/pizzicato/banjo,chordophone/pizzicato/doublebass,idiophone/metal/cymbal,aerophone/brass/trumpet,eletrophone/electronic/synthesizer,membranophone/unimembranophone/timbale,chordophone/arco/violin,chordophone/arco/violadarco,chordophone/arco/cello,membranophone/bimembranophone/snare,eletrophone/electroacoustic/bass,membranophone/bimembranophone/toms,idiophone/metal/bells

@data
-353.342612,71.118803,2.780422,16.979109,9.644179,6.26308,5.995124,7.696881,8.308478,7.225226,2.055328,3.2251,0.910058,1.24584,-0.812392,5.591,-3.706601,1.562217,4.186722,1.147741,1.364018,4.354723,4.719028,5.543851,2.004211,0.329066,0.340427,0.998117,-0.353109,0.894107,membranophone/bimembranophone/bassdrum
-267.42488,57.397557,23.32366,30.686121,11.943428,8.56502,6.295013,7.999117,6.322756,7.242395,5.172315,2.406292,1.364291,2.98944,1.30548,5.320331,1.142438,2.637939,0.921262,1.646674,2.64962,1.52019,0.58778,2.773953,1.74791,2.408805,0.739063,2.421904,-0.376104,-0.717655,membranophone/bimembranophone/bassdrum
-284.630384,9.827906,8.732171,-17.297352,-3.13772,-12.258899,-0.732386,5.193451,-0.398178,-4.5515,-4.291832,3.107579,2.781563,0.733594,-7.213873,-7.276804,-4.321877,-3.240474,2.176642,-1.839349,0.0541,1.99929,-2.011376,-3.238778,-1.408217,-2.49664,5.389775,-2.796415,-4.299793,-1.48734,membranophone/bimembranophone/bassdrum
-350.093083,61.099348,4.303215,31.019042,7.693549,20.297069,10.806897,13.819926,4.649299,5.937617,-1.832945,6.897173,5.913611,5.890491,3.466965,6.257027,6.032522,3.6308,3.713809,-0.745648,0.15869,1.342384,1.032073,3.252164,0.469564,0.986073,1.737845,-0.818119,-0.322533,-0.908375,membranophone/bimembranophone/bassdrum
-276.458943,70.096109,28.922346,29.945225,12.412786,12.524865,5.494908,1.925974,2.158216,4.353008,2.914764,3.789137,4.832109,4.692384,0.703022,2.284228,2.155034,1.556795,0.499176,-0.347997,-0.234584,-1.128333,2.897145,1.998422,1.665995,1.289545,3.436666,0.517871,0.046799,1.968337,membranophone/bimembranophone/bassdrum
-491.293262,-17.481069,-51.023244,-11.369775,-7.920358,-16.91745,-17.346189,40.074037,51.799569,18.773833,-28.218569,-23.061052,14.963661,20.017156,-8.436794,30.315025,39.824032,-9.432546,-29.589337,0.536293,15.294472,1.545444,12.64024,-0.234142,11.539475,11.250396,-22.023201,2.974711,15.792225,-5.630262,aerophone/wood/oboe
-447.574872,8.699456,-54.066635,-20.967052,-22.272766,4.61078,-12.61727,29.360435,37.148855,-3.226607,-33.746544,-7.481176,6.178863,16.042358,0.413526,29.398069,19.306155,-20.066659,-21.83236,26.715287,-1.972172,3.235489,6.834476,-2.958987,15.291433,-8.117911,-17.483365,22.239339,10.74765,-0.927871,aerophone/wood/oboe
-442.306562,39.509252,-75.231315,2.218087,-11.961768,1.630598,-24.338655,-20.376414,1.077834,7.430474,31.185524,29.693691,-2.50512,-20.33889,-5.430112,7.99248,-8.356516,-25.946046,-11.141736,27.880906,28.614343,13.306348,15.141778,1.306068,-16.689076,6.43108,17.427002,-11.380795,-11.393699,8.143321,aerophone/wood/oboe
-623.404154,-33.365036,-48.553625,-3.016246,22.577425,33.260497,-4.914687,-16.619999,29.15188,37.798437,-20.066021,3.643678,24.04571,19.046087,0.921196,-19.934317,7.117249,37.244496,-23.582249,5.992303,5.802092,14.056238,1.773016,-2.487001,-6.731114,14.56615,4.875918,-14.732745,14.476894,3.553747,aerophone/wood/oboe
-529.648667,39.406433,-63.249079,7.544135,-5.360489,12.418224,1.290104,-2.677781,-5.173652,-13.084807,-17.710262,2.378511,19.849131,53.775494,39.200454,-12.818637,-17.834181,7.504461,29.961704,4.672462,-21.51804,-9.429191,5.870487,-3.398006,-15.637148,22.566667,30.349908,-2.026367,-1.184802,14.957647,aerophone/wood/oboe
-291.67345,57.514219,-26.80827,-0.175928,-3.649335,4.97632,-2.8714,-7.104659,-3.604346,-8.002941,-0.327634,1.663062,3.941778,2.681024,-2.432105,0.54751,-0.817527,-0.50095,2.44928,0.821552,-4.289179,2.476972,-3.43808,0.117074,-2.289614,-3.976884,-5.675173,-4.508472,-4.516055,-2.21735,aerophone/brass/trombone
-332.219219,74.423288,-40.28865,2.811025,-11.692881,-1.542821,-8.139526,-7.376537,-6.947419,-4.767569,-6.574633,-5.438423,0.843413,1.489386,-4.855454,1.318484,-0.768819,-7.635275,-4.025012,-4.095859,-4.880646,-2.467055,0.823924,2.433903,-5.119572,-2.582243,-2.576126,2.005505,-4.423638,1.006408,aerophone/brass/trombone
-318.110292,92.714573,-34.485926,15.229819,-11.467294,7.498045,-1.994907,-9.421726,-7.732319,-6.351295,-7.228947,-0.324473,3.726789,4.170389,-5.308427,-0.305381,-2.670148,-6.676122,-7.288406,-1.603716,-7.3078,0.732303,2.182114,1.727817,-2.960633,-3.036728,-4.60691,0.073368,-7.561612,-4.494238,aerophone/brass/trombone
-456.6853,64.325933,-53.187462,-0.805175,-23.848618,-4.993902,-11.028269,-12.389265,-14.132093,-5.226518,-2.484836,-3.904298,-9.958322,-8.623788,-22.770327,-19.546836,-29.04983,-6.681199,22.63318,36.135081,25.821092,4.173566,-11.282311,-3.891151,11.434364,9.401259,-4.884419,-6.39124,4.384806,13.743089,aerophone/brass/trombone
-284.89349,43.679429,-29.767212,7.494266,2.379135,7.920387,1.168407,-4.400313,0.491186,-10.278509,-7.690074,0.450386,1.711036,-3.323816,-5.493676,4.632178,-1.642202,-1.131848,1.187269,-0.039815,-7.341009,-0.399696,-2.758255,0.184825,0.182152,-4.20795,-8.427716,-2.749322,-4.845426,-3.416476,aerophone/brass/trombone
-371.427855,-72.526053,-15.824733,-9.763571,0.940405,1.579636,6.970517,-2.87903,11.414629,-13.325317,-5.138036,3.821647,-12.140194,22.048726,-23.945292,-7.839442,0.352768,6.740842,-2.320145,-5.182604,4.368109,0.213404,-6.301772,1.654012,10.538543,-6.350828,1.29614,-2.763248,2.532157,-4.096632,idiophone/metal/crotale
-336.83963,-76.049481,-7.670886,-5.212284,-12.912535,6.446181,5.508811,-5.779722,5.235088,-21.843499,-0.626867,-4.215305,8.668925,-12.311533,-22.982597,10.507818,6.862682,-7.053992,-11.35773,1.520885,-0.504841,-5.989094,1.686453,-0.175608,-4.255723,-6.472549,5.356245,2.400589,-5.676602,2.332032,idiophone/metal/crotale
-440.968244,-80.576574,19.123748,11.745854,-1.295639,7.311461,10.053912,-5.245017,-12.591738,11.314661,-13.579251,-11.930729,9.028986,-3.957016,-12.786618,11.625005,-4.023645,-10.318139,8.017662,-14.609531,4.130296,-3.868389,-1.541756,-0.840681,2.117279,-4.500052,-0.006982,2.318684,-4.167526,-0.741767,idiophone/metal/crotale
-433.058898,-84.998232,17.365188,18.117983,10.361147,0.495155,5.06774,-0.117578,-12.231074,-2.083453,-4.074287,5.345101,-2.712778,-1.24658,-11.577851,-10.42549,10.101319,-15.437981,14.275789,-4.708868,-2.407223,-2.73653,3.811369,0.588706,-2.195032,8.513007,-13.53365,2.536288,1.182065,-3.851108,idiophone/metal/crotale
-391.772864,-55.610517,14.165449,0.563587,1.854554,9.931644,-13.15963,-0.382707,15.652547,-20.791173,9.001692,-2.896212,-5.671301,5.794304,-12.080261,4.983601,-8.857,-9.492408,9.921575,-16.668772,6.520032,-3.528522,1.495997,2.633418,-2.649801,-1.580146,1.644313,-10.264738,7.153982,-7.386714,idiophone/metal/crotale
-540.748815,-125.517594,33.827991,-2.426407,14.11641,-0.904491,4.295843,8.872317,-1.675371,1.620199,3.510965,-2.833753,5.882574,-0.217,2.325454,-4.799022,5.676331,3.250999,-1.576137,3.94998,-1.440537,1.941869,-3.375103,8.73064,-2.170839,1.72681,-0.787909,4.462194,-1.679679,2.905221,membranophone/unimembranophone/tambourine
-339.280206,-79.244111,17.259545,-13.000752,20.835095,-1.187521,-13.779979,16.050143,-11.160251,3.585472,2.76321,0.872301,1.297766,-1.621395,0.122109,2.917632,0.391759,0.794715,-3.364246,3.625734,-0.423671,5.223538,-1.624669,4.614867,-2.253606,4.990552,-2.282666,0.376818,-0.736095,-0.373575,membranophone/unimembranophone/tambourine
-415.438407,-128.336412,-6.344237,-26.5279,-5.695217,-22.881217,-0.439548,-11.750027,2.788936,-4.73334,-7.623982,1.153185,-10.889068,4.207457,-11.731949,0.909733,-4.294175,2.093881,-7.575645,-0.17729,-6.599167,0.837722,2.754595,-0.182852,-2.142088,-2.177143,-2.559596,-1.741977,-2.517811,-0.496266,membranophone/unimembranophone/tambourine
-312.766527,-12.949091,23.956245,-6.15255,10.345452,-0.71276,13.387653,-2.735707,5.59173,-2.776705,3.355526,3.063809,-0.940966,-0.289763,2.119592,1.057826,-2.129784,-4.936167,1.124773,1.555227,0.734526,-2.312673,3.40453,-2.541628,2.301123,-2.059721,-1.363482,-0.383633,3.268148,0.84053,membranophone/unimembranophone/tambourine
-594.481804,-138.314346,86.096435,-17.997434,7.70182,10.875748,-0.518246,5.272661,1.413468,4.61598,1.648504,0.248824,5.169382,-4.829739,3.800582,-3.595807,-2.788321,-0.535897,-0.260256,4.765375,-0.819292,2.00656,-1.240692,1.181861,1.299159,1.763307,0.187986,4.585366,-0.434525,4.353963,membranophone/unimembranophone/tambourine
-453.579512,102.519647,-17.759921,5.447479,15.903988,-1.15884,-26.13464,-29.443901,-14.046141,-22.270085,-29.679591,-11.859682,-19.437411,-4.519178,-0.643717,-12.113714,11.946792,20.018588,19.178865,13.913247,7.463611,3.671334,16.080695,-1.145423,-2.926022,2.804593,-1.384414,-2.419035,-7.887833,-7.806181,idiophone/fibrousmaterial/marimba
-541.376371,142.971355,-15.477132,36.795542,9.913213,-8.210122,25.236983,-0.007906,-20.872626,12.192256,-7.600827,-29.746916,-18.593671,-25.968367,-28.950985,-3.620357,-12.595281,-23.467749,-4.125689,-5.851519,-28.310011,-13.45935,3.689684,10.801903,20.335454,10.770775,-2.658356,-3.02291,4.375295,2.797375,idiophone/fibrousmaterial/marimba
-529.93589,144.617468,-10.065198,20.318594,19.892094,-0.446844,16.917241,12.450678,-17.981232,-1.846996,17.952926,-6.102192,-16.505836,-12.145949,-30.570645,-28.71569,-7.341138,-12.589865,-27.792563,-12.842546,-0.374364,-13.259754,-17.326389,-16.800291,-21.155161,-5.72029,16.597544,14.616117,6.21614,3.924863,idiophone/fibrousmaterial/marimba
-359.554054,111.038475,-27.403307,-24.037117,-15.5871,-24.503685,-4.902148,5.510688,10.430367,20.457946,20.0454,2.639329,8.154483,3.193776,-19.335912,-3.573609,0.359217,-14.866388,5.680628,10.728957,-6.608376,6.214346,7.231332,-10.707434,-1.043234,3.333954,-5.757609,-2.083352,3.516687,-1.598961,idiophone/fibrousmaterial/marimba
-399.422116,91.346921,-56.700215,-12.785371,26.564106,16.821643,-6.863267,-16.520893,-13.658476,20.250961,17.875322,-4.44114,-5.555414,0.19007,13.905534,15.907918,-8.810167,-7.447691,3.954951,2.032422,5.037226,-6.088792,-5.057341,3.283572,2.552203,1.231526,-6.926664,-1.443914,-0.824198,2.387279,idiophone/fibrousmaterial/marimba
-464.666659,188.200674,11.157587,15.59668,4.494902,3.78388,-4.197677,-0.959858,-3.034199,-3.929266,-7.300217,-10.963821,-13.290459,-9.499572,-7.907057,4.404973,2.947867,-0.61121,-2.218248,2.4844,7.372176,7.68221,-0.828037,-8.949589,-7.120815,-3.761432,-6.526232,-5.289395,-3.862061,-5.02171,aerophone/brass/tuba
-658.27019,173.073612,68.038147,24.79508,11.171935,4.796478,1.32633,-7.503718,-2.949231,8.279418,1.44845,-2.523189,-5.684963,-11.000875,-7.630152,5.209189,1.956216,0.15534,6.093105,2.076783,4.816842,9.874058,5.093022,-0.654219,0.220409,-2.220529,-3.425956,0.462673,-7.83772,-6.052383,aerophone/brass/tuba
-663.249524,183.305879,80.5495,42.449652,26.096218,13.284647,4.434166,-1.4171,2.849197,5.285903,-10.895466,0.422923,6.54642,0.295809,1.666208,8.205495,-3.334293,-2.106979,8.36784,-9.601856,-4.374045,4.430509,-3.429898,0.209377,6.978086,-5.399934,-4.625235,10.016105,-1.971997,-5.776649,aerophone/brass/tuba
-588.193559,128.313634,20.20505,17.537644,-6.771453,-12.485952,-12.786658,-12.708133,-18.721743,-18.709435,-25.317667,-17.45207,-20.293286,-22.429935,-31.523605,-21.673844,-3.70749,17.077133,36.499541,37.055459,16.485194,-2.243033,-0.513559,10.648374,12.997632,-1.656256,-7.138227,1.683731,12.658547,3.416411,aerophone/brass/tuba
-448.891131,211.230876,12.338219,5.791607,4.785938,-0.889053,2.112222,-7.459632,-6.159997,-2.49882,-0.720774,4.924636,-6.735876,-4.466185,-7.708256,3.114767,1.828465,-1.272073,-8.761579,-6.696577,2.850182,-1.4018,-7.893831,-6.766155,4.856016,3.764958,-3.018083,-6.713033,-5.856257,-2.560907,aerophone/brass/tuba
-277.471418,61.969393,-48.388637,15.838732,-11.769031,-15.28286,-9.246349,-9.492823,-8.618744,-12.753343,-12.393033,-2.254827,-4.354595,-3.555006,2.042653,2.626967,-5.723609,-5.611089,0.14402,2.228947,-4.850156,-5.484015,-14.540602,-12.840658,-13.732491,-6.952862,-2.737274,6.816583,10.490467,5.551971,aerophone/wood/saxophone
-424.235853,81.587893,15.983636,23.392097,-3.370131,-13.446639,5.947711,6.064922,0.928457,-6.74936,-7.631503,-1.204634,-0.317443,-3.728398,-0.012409,2.203567,-4.013878,-2.599331,-0.233934,0.329024,-0.286553,5.409189,2.041068,-2.60337,-5.830701,-4.761555,-4.711378,-4.349997,-9.424502,-14.652769,aerophone/wood/saxophone
-376.713743,43.525653,-43.158088,20.982006,-21.451026,-16.348152,-14.265595,-15.849112,-18.219469,-17.85824,-20.053824,-27.414997,-15.582154,1.653949,21.051766,37.340792,24.417261,-1.516408,-13.422298,-2.638239,13.556662,6.999632,-15.764994,-6.084353,1.335703,-3.948992,-12.810148,-3.100038,10.830931,4.852875,aerophone/wood/saxophone
-322.185046,47.732597,-32.765451,25.097399,-0.422933,-0.213352,-10.744312,-13.216559,-9.802724,-4.395539,-5.963639,-0.314707,-7.676288,-11.893656,-7.390499,-9.423231,-16.18056,-16.644035,-17.584599,-13.868296,-3.638476,10.617375,18.571208,23.88793,7.707614,-1.627922,2.711717,10.221102,6.540528,-5.153631,aerophone/wood/saxophone
-409.788712,52.269984,-34.602608,-2.739386,-8.730712,0.06926,-7.838501,-17.983831,-18.299052,-12.153442,-22.045806,6.624283,32.354738,32.135313,9.572782,-17.993194,-12.22139,10.204786,8.252789,-15.60194,-20.668498,-3.96537,3.802289,-3.18805,6.005959,19.569931,14.361732,-8.513127,-2.159217,7.508555,aerophone/wood/saxophone
-342.995978,121.299465,9.879435,5.544411,6.622503,-26.36858,-21.424734,-7.695449,-0.393889,-8.862514,4.416534,4.866469,-3.951496,-4.497211,5.213969,-1.983999,-4.978127,-4.871605,-7.359461,-0.583737,3.002291,3.085918,-0.441954,-0.873524,-3.370914,-2.11849,-1.509991,3.634419,1.786953,3.512872,aerophone/wood/bassoon
-409.691157,159.314727,2.315543,0.195624,-12.282975,-6.088284,-9.867382,-4.636905,-16.62875,-14.971128,-3.083161,-0.685065,1.165673,4.645474,9.342267,0.471943,-3.363655,6.564956,-1.022082,-2.306955,-3.665957,0.839522,4.954512,-0.877377,2.486054,3.739791,-4.441398,-2.6893,1.961936,-0.413695,aerophone/wood/bassoon
-381.621197,131.789457,-3.762392,-0.353897,-10.980179,5.887462,4.34437,11.200655,-15.448934,-17.610741,-9.962355,-7.896843,-2.684588,10.133814,14.859075,-1.340151,-6.510496,3.875999,0.028452,-1.888886,0.783854,5.462037,3.063106,-6.943031,-1.784168,0.553721,-3.115288,0.206909,-3.209675,0.328603,aerophone/wood/bassoon
-371.14129,134.138034,9.585276,-0.266347,-8.686081,1.847602,-10.843098,-1.537606,-2.879197,-13.471624,-5.799164,2.143007,-0.634748,-2.251242,10.239379,12.294376,-0.090794,-0.356735,1.458228,-0.408267,3.216104,4.453995,-5.340558,-3.583242,5.10184,0.778892,0.515851,1.95092,-1.815599,-4.491572,aerophone/wood/bassoon
-488.055777,155.993966,6.21263,1.998563,-11.479887,-1.949069,-15.633495,0.721627,-6.826223,-8.73089,5.603436,7.349357,2.791099,-2.610229,10.652819,6.094791,-2.995832,7.836429,-1.731375,-0.772252,-1.55098,-1.379632,2.038219,4.882184,5.065972,2.97087,-0.840416,-2.633697,2.6795,1.072599,aerophone/wood/bassoon
-539.560592,132.034715,11.062448,14.491475,7.232806,3.075075,0.002235,1.282027,-9.621843,-9.995513,1.638342,-1.320573,0.535277,1.832062,-6.592425,-7.633294,-7.960463,-9.460919,5.031209,5.693468,7.526941,-1.104036,-3.430037,-0.758378,-1.487429,-0.515186,1.44325,2.926116,-2.139689,-0.427449,chordophone/pizzicato/guitar
-405.417091,85.83091,1.509177,13.926092,5.889298,8.075152,4.435276,-13.860291,-18.809289,-5.58808,0.478083,12.133039,12.218295,-5.293455,-5.75713,0.776293,-0.938329,-6.700769,-0.056259,-2.127057,0.521478,1.998097,-3.695259,0.435785,0.596933,0.542659,-1.26145,-0.319824,-5.136903,0.011007,chordophone/pizzicato/guitar
-397.035003,117.192023,-11.10221,41.035856,2.013848,19.77532,7.364083,5.26159,-2.952471,8.33327,3.873111,8.599752,11.416802,0.496391,-1.992517,-2.489604,-7.029694,-12.916681,-7.409305,2.61056,8.17974,-0.232903,-4.006318,2.443995,6.514607,3.948121,-1.948949,1.394339,0.933885,-6.498504,chordophone/pizzicato/guitar
-424.410179,120.470126,-10.385046,39.261041,4.835595,10.213633,-6.323231,-6.032262,-7.403506,-1.227839,2.775816,0.84496,0.786687,-2.493897,6.663419,8.727345,3.181699,-4.903843,-8.893047,-6.86185,-10.564693,-1.537639,6.454887,1.157155,-3.309198,-1.145132,3.939752,1.462302,-2.450058,-1.541862,chordophone/pizzicato/guitar
-414.569497,78.504968,6.719327,32.252678,10.529268,5.907739,-6.539002,-7.682456,-12.452476,-4.984095,-0.594193,6.148762,3.607696,7.478188,3.238595,-6.858577,-18.374876,-9.56229,-15.656759,-16.254756,-5.075068,-7.86527,-6.165545,10.505243,18.736344,15.529319,-0.020715,-2.805059,4.840327,5.893127,chordophone/pizzicato/guitar
-628.18496,108.553496,-3.021517,-1.105369,-16.233177,-18.919462,-10.613868,-13.237459,-17.470533,-11.709503,-23.372795,-27.279273,-17.978843,-5.888084,22.335212,44.26337,44.186251,18.237703,-2.318673,2.343272,11.974229,14.112078,-1.640524,-4.679677,5.129453,6.379036,-6.329674,-16.806921,-3.377682,14.654908,aerophone/brass/horn
-345.524001,104.397262,-27.996844,6.53415,-6.178787,-14.899517,-11.51713,0.253019,-9.168972,-5.462819,-4.803282,0.200741,-2.547848,-2.652141,-1.164966,-3.70912,-1.867898,-1.227932,-2.567469,1.77805,-6.398629,4.745578,-6.952461,1.587798,1.650555,-5.021331,3.60411,-2.555198,-3.698537,4.711738,aerophone/brass/horn
-631.931774,133.912649,9.73313,2.771687,-2.581762,-25.922199,-16.080722,-4.3082,-2.205441,-14.423565,-16.488002,-7.324442,-7.281974,-14.094713,-32.579258,-31.803177,-17.558088,-0.761178,31.685733,38.60245,24.141341,18.484151,-6.37599,-7.186971,15.961652,18.385411,-5.095301,-9.073651,7.137475,14.701685,aerophone/brass/horn
-551.560029,171.84375,19.981325,12.999385,-6.613437,-15.73336,-11.942778,-3.657165,-6.499762,-9.882247,-3.034916,0.868197,-5.280824,-10.480802,-5.206662,0.299946,1.518869,-1.696744,0.745662,5.1267,2.402909,-8.946294,-9.28686,7.020914,4.463072,-2.079426,0.283447,1.643945,-0.116339,-6.33581,aerophone/brass/horn
-644.476014,173.360258,39.581017,-1.213749,-6.384801,-17.576176,-7.900978,-1.517232,-2.103682,-0.111864,-2.082777,-2.283849,-5.643877,-3.908036,2.248496,2.455162,-3.80791,-0.729507,5.966938,2.789473,0.63989,-3.289247,-4.907621,-0.455073,1.575091,0.131023,-5.058928,-2.475718,-4.290822,0.170619,aerophone/brass/horn
-241.290096,13.115858,-57.921895,10.201008,3.825287,10.293433,-6.16207,-20.439992,5.316892,11.214252,10.611934,-14.697917,-14.304309,8.941415,11.372906,-0.881012,-16.264459,-0.523515,2.62493,6.989714,-8.937734,-0.950065,-3.909056,4.83116,-6.760678,1.46362,-3.453388,3.546974,-3.123579,-1.779135,idiophone/fibrousmaterial/xylophone
-240.903149,-27.448924,-11.999176,2.941826,-18.20797,5.705083,-21.842098,-21.957165,-22.657522,-8.965545,-1.49996,-11.719051,3.088145,1.779612,15.517115,23.566726,0.840505,9.392082,1.262576,8.850956,-7.091155,-6.745503,-13.592495,-8.982166,0.338408,-9.014454,-8.050536,2.799546,-1.65994,6.910447,idiophone/fibrousmaterial/xylophone
-238.755303,-27.419479,-24.386957,-8.618367,-23.326465,-20.610089,-6.018445,12.774383,5.422867,5.264553,13.060619,6.069999,-18.73647,-1.193832,-11.933313,-5.403718,-12.172587,12.436377,7.32532,-4.253682,5.676705,4.026022,-8.191843,-9.292828,0.142565,1.466238,-3.005001,-0.275465,8.659757,-1.405,idiophone/fibrousmaterial/xylophone
