@RELATION 'dataset_discretizado'

@ATTRIBUTE feature1 numeric
@ATTRIBUTE feature2 numeric
@ATTRIBUTE feature4 numeric
@ATTRIBUTE feature3 numeric
@ATTRIBUTE feature5 numeric
@ATTRIBUTE feature6 numeric
@ATTRIBUTE feature7 numeric
@ATTRIBUTE feature8 numeric
@ATTRIBUTE feature9 numeric
@ATTRIBUTE feature10 numeric
@ATTRIBUTE feature11 numeric
@ATTRIBUTE feature12 numeric
@ATTRIBUTE feature13 numeric
@ATTRIBUTE class hierarchical blues,blues/gospel,classical,classical/20th_century_classical,classical/chamber_music,classical/choral_music,classical/composed_music,classical/contemporary_classical,classical/opera,classical/symphony,country,country/americana,country/bluegrass,country/country_-_western,country/country_-_western/western_swing,country/rockabilly,easy_listening,easy_listening/easy_listening:_vocal,easy_listening/nu-jazz,easy_listening/lounge,electronic,electronic/ambient_electronic,electronic/breakcore_-_hard,electronic/chip_music,electronic/chip_music/chiptune,electronic/dance,electronic/downtempo,electronic/drum_-_bass,electronic/dubstep,electronic/dubstep/skweee,electronic/glitch,electronic/house,electronic/house/chill-out,electronic/idm,electronic/jungle,electronic/minimal_electronic,electronic/techno,electronic/techno/bigbeat,electronic/trip-hop,folk,folk/british_folk,folk/freak-folk,folk/free-folk,folk/psych-folk,folk/singer-songwriter,hip-hop,hip-hop/abstract_hip_hop,hip-hop/alternative_hip-hop,hip-hop/breakbeat,hip-hop/hip-hop_beats,hip-hop/nerdcore,hip-hop/rap,hip-hop/wonky,hip-hop/hiphop,jazz,jazz/big_band_swing,jazz/free-jazz,jazz/jazz:_out,jazz/jazz:_vocal,jazz/modern_jazz,old-time_historic,pop,pop/experimental_pop,pop/synth_pop,rock,rock/garage,rock/garage/surf,rock/goth,rock/indie-rock,rock/industrial,rock/krautrock,rock/lo-fi,rock/loud-rock,rock/loud-rock/noise-rock,rock/loud-rock/sludge,rock/metal,rock/metal/black-metal,rock/metal/death-metal,rock/metal/grindcore,rock/new_wave,rock/post-rock,rock/post-rock/space-rock,rock/progressive,rock/psych-rock,rock/punk,rock/punk/electro-punk,rock/punk/hardcore,rock/punk/thrash,rock/punk/no_wave,rock/punk/post-punk,rock/punk/power-pop,rock/rock_opera,rock/shoegaze,soul-rnb,soul-rnb/disco,soul-rnb/funk,soul-rnb/funk/deep_funk

@DATA
7,7,8,13,8,13,11,5,15,9,10,7,9,rock
1,7,20,18,15,18,20,7,13,18,8,2,9,rock
1,7,20,19,13,17,20,7,13,19,11,5,16,rock
1,5,20,19,18,18,20,5,14,16,5,3,10,rock
1,5,20,17,17,17,20,12,18,18,10,1,5,rock
9,15,15,10,1,20,5,11,8,1,3,1,3,rock
4,5,19,4,11,16,19,16,19,17,16,17,17,rock
5,9,13,7,9,5,20,14,19,19,7,5,10,rock
5,17,17,13,18,17,11,11,14,19,18,19,13,rock
1,3,6,14,12,11,19,20,18,16,14,18,16,electronic
4,14,16,12,5,19,19,8,7,2,12,7,7,electronic
2,1,1,4,4,16,17,14,16,13,11,11,8,electronic
1,14,14,17,16,16,9,11,17,20,19,13,6,rock
5,11,7,7,12,14,16,15,4,17,18,14,10,rock
2,5,6,5,11,12,15,14,13,14,17,14,12,rock
11,12,3,15,16,5,4,11,13,12,14,9,5,rock
16,19,8,14,4,5,5,12,9,6,9,3,3,rock
1,8,14,18,15,15,13,11,10,13,17,13,3,rock
2,14,9,12,11,11,12,14,14,15,13,11,11,rock
6,19,7,18,19,18,17,12,17,16,17,5,6,rock
16,3,15,13,4,5,4,3,15,15,2,8,5,rock
18,15,9,19,9,9,4,3,9,11,2,10,15,rock
15,1,6,20,14,4,3,4,9,2,14,14,16,rock
14,1,16,18,2,9,8,1,11,18,2,15,8,rock
18,9,16,11,2,12,9,3,16,13,3,17,16,rock
15,6,1,20,20,20,5,1,8,15,18,11,20,rock
16,7,12,19,19,7,9,2,3,8,3,12,6,rock
10,2,4,16,19,7,4,2,17,15,20,12,9,rock
12,6,5,20,20,16,16,2,11,1,13,3,1,rock
19,3,20,20,18,15,5,1,3,4,2,14,9,rock
1,6,8,18,20,4,3,2,3,17,9,17,19,rock
7,5,17,12,5,15,19,14,16,16,20,19,12,rock
6,5,18,7,18,15,14,11,18,16,16,14,12,rock
2,7,6,10,4,10,9,3,5,4,6,10,5,rock/loud-rock/noise-rock
7,10,18,4,2,6,17,18,10,10,10,6,11,rock
16,19,17,14,15,7,17,16,14,5,19,20,9,rock
7,3,17,16,14,12,19,11,9,14,20,19,15,rock
7,13,4,12,19,11,19,9,9,11,15,18,18,rock
2,11,15,4,8,3,9,13,12,16,11,10,9,rock
16,13,17,14,18,13,18,12,12,8,6,10,8,rock
1,19,9,6,9,5,5,7,6,5,5,6,3,folk/singer-songwriter
1,18,10,10,6,2,8,11,17,11,11,9,11,electronic
4,17,19,1,19,8,11,13,3,18,6,13,12,rock
1,1,14,2,17,10,14,15,14,20,20,8,14,rock
10,9,16,2,18,2,11,14,16,8,2,13,2,jazz/jazz:_vocal
13,7,14,2,19,1,13,18,13,4,7,7,3,jazz/jazz:_vocal
11,12,9,2,17,6,10,19,14,11,1,12,2,jazz/jazz:_vocal
13,10,16,2,18,2,12,13,5,5,1,12,1,jazz/jazz:_vocal
12,8,17,1,13,1,8,16,3,7,10,12,1,jazz/jazz:_vocal
3,15,18,8,18,12,11,14,9,11,14,7,17,rock
6,6,16,4,14,13,8,13,20,17,20,19,19,rock
5,5,14,10,18,16,13,15,19,11,17,20,20,rock
2,11,18,7,18,9,12,20,5,12,18,3,14,rock
5,11,17,12,19,18,14,12,19,12,14,15,19,rock
6,6,19,7,16,6,17,18,9,18,13,8,14,rock
2,10,16,4,17,9,13,18,2,7,15,5,15,rock
4,10,13,13,18,8,15,14,17,14,15,17,20,rock
1,8,12,8,15,3,13,18,11,18,11,18,19,rock
6,2,18,14,19,17,10,12,18,12,18,19,18,rock
5,10,14,5,12,9,9,16,20,17,19,20,20,rock
14,15,9,7,11,13,15,14,9,5,8,13,12,rock
3,3,10,5,14,7,9,17,20,16,18,19,14,rock
6,10,18,6,14,5,14,17,4,14,10,18,20,rock
3,4,18,14,19,13,16,10,19,12,17,19,19,rock
1,5,17,3,14,5,9,20,10,17,10,12,19,rock
7,7,12,7,17,17,8,13,20,14,15,10,9,rock
3,15,17,6,19,17,14,20,6,19,18,6,14,rock
4,8,17,7,19,17,11,14,20,10,17,17,19,rock
11,9,15,18,15,17,11,12,16,12,16,19,19,rock
6,6,3,6,10,3,16,2,3,13,14,19,19,rock
11,12,16,20,19,17,19,18,20,18,15,13,20,rock
7,11,8,6,16,9,17,12,5,7,9,9,19,rock
9,14,17,20,19,18,18,16,20,17,14,20,20,rock
5,16,20,4,15,3,8,16,4,14,18,19,14,rock
16,20,6,20,20,4,14,20,1,2,10,9,19,rock
8,3,11,5,19,16,11,10,15,7,15,16,19,rock
16,18,3,10,9,1,12,3,2,11,14,14,20,rock
3,12,17,4,9,5,8,13,8,16,14,14,17,rock
4,16,16,7,19,11,14,19,9,14,7,10,12,rock
6,12,18,3,3,5,6,9,5,15,7,13,17,rock
7,19,12,6,16,7,16,18,17,17,6,14,8,rock
2,13,9,6,8,7,12,12,11,7,7,16,7,rock
10,20,12,3,7,3,7,10,12,17,7,13,7,rock
3,16,11,18,17,16,18,18,12,18,14,12,19,rock
17,19,17,19,18,10,7,9,8,17,7,7,9,folk
17,10,19,16,15,10,12,20,5,20,6,20,19,folk
20,8,19,15,20,11,8,17,17,20,13,9,17,folk
15,15,14,11,16,14,12,18,15,19,6,11,13,folk
20,10,18,14,19,13,4,9,6,14,6,2,8,folk
17,9,18,16,11,7,18,19,19,17,8,16,16,folk
18,20,20,20,20,17,7,10,4,15,8,14,12,folk
6,6,12,8,8,19,14,8,14,14,13,4,9,rock
6,7,11,10,5,10,15,13,19,7,12,9,10,rock
4,5,12,10,7,15,15,16,18,16,16,14,18,rock
8,6,12,7,6,9,18,5,18,19,14,10,15,rock
3,3,20,4,1,1,4,10,19,13,18,10,16,rock/punk
2,5,7,6,11,6,10,9,4,4,10,17,13,rock/punk
2,7,11,5,6,4,11,12,11,7,5,14,8,rock/punk
1,9,9,8,11,12,9,14,6,5,12,19,9,rock/punk
1,5,7,4,9,10,9,10,8,10,9,18,15,rock/punk
2,3,8,6,12,7,13,13,13,10,14,17,5,rock/punk
11,3,20,4,16,2,14,14,3,6,16,18,16,rock
8,3,18,17,7,10,15,9,8,18,19,15,2,rock
19,18,15,4,15,17,3,19,10,14,9,18,8,rock
2,12,20,20,18,19,20,12,18,17,19,15,5,rock
8,4,19,18,4,17,20,3,13,12,18,3,3,rock
15,7,13,17,9,18,3,12,5,5,5,4,5,rock
4,5,4,10,18,19,19,18,10,7,8,15,15,rock
11,8,16,11,18,18,15,14,12,16,14,15,16,rock
5,4,2,5,5,6,5,3,14,18,12,8,11,rock
11,2,5,1,7,17,3,1,1,2,6,9,8,rock
3,5,3,19,8,3,2,18,3,1,16,15,8,rock
14,13,17,16,18,10,14,5,9,13,10,20,15,rock
15,5,6,14,5,9,12,10,14,12,15,12,12,rock
20,17,11,17,14,7,7,7,8,6,7,11,14,rock
3,14,20,20,16,17,20,5,18,16,19,14,4,rock
1,12,11,9,4,5,8,8,10,7,8,14,8,rock
3,13,9,16,6,5,7,7,5,6,5,8,7,rock
1,11,20,18,5,18,20,4,16,18,20,14,2,rock
2,8,18,5,10,15,20,3,18,4,19,16,3,rock
2,6,14,8,5,13,18,5,19,17,6,6,2,rock
16,1,9,20,13,7,19,15,7,7,12,17,8,rock
5,16,19,20,13,19,18,5,19,20,20,8,2,rock
17,8,16,6,18,14,20,20,13,7,17,17,18,electronic
18,12,15,14,5,11,1,20,5,11,2,18,4,folk/singer-songwriter
6,8,9,7,16,6,7,7,3,6,3,5,2,electronic
19,17,19,5,8,8,13,11,18,10,17,12,19,electronic
10,9,11,8,20,12,20,20,20,20,9,2,7,electronic
14,20,5,11,11,11,13,4,2,7,14,7,2,electronic
17,7,15,16,15,1,4,14,19,5,12,9,11,electronic
6,14,19,6,13,18,13,16,20,20,2,1,15,electronic
16,19,15,19,5,17,4,17,3,15,1,17,11,folk/singer-songwriter
14,3,5,2,12,2,7,20,20,9,2,3,15,electronic
14,16,13,13,15,7,10,18,4,1,1,1,2,folk/singer-songwriter
17,18,9,7,16,10,8,17,13,1,3,3,1,electronic
19,17,19,8,7,6,17,12,18,13,11,7,19,electronic
7,14,3,1,2,1,1,20,17,19,19,15,1,electronic
14,20,19,11,14,1,1,1,20,16,20,20,18,folk/singer-songwriter
8,10,16,4,2,5,20,11,9,15,19,2,2,electronic
7,14,7,8,7,3,11,6,20,9,19,12,9,electronic
2,2,5,1,1,1,1,2,1,1,1,1,1,electronic
18,13,5,4,8,5,11,4,12,8,7,12,9,electronic
15,10,12,18,16,5,8,9,8,5,2,3,5,folk/singer-songwriter
15,8,9,1,2,1,1,1,1,1,1,1,1,electronic
18,18,19,6,6,3,5,12,19,8,12,4,15,electronic
4,15,1,1,4,4,8,14,1,4,20,3,7,electronic
18,18,15,1,2,1,16,5,7,4,20,15,1,folk/singer-songwriter
19,6,9,7,18,2,5,1,2,1,2,3,5,electronic
1,11,3,9,13,16,4,2,1,5,3,1,1,folk/singer-songwriter
6,12,12,3,19,2,17,1,1,10,20,10,15,electronic
18,5,5,1,1,3,2,4,11,16,20,20,18,electronic
15,20,12,16,20,6,19,11,20,20,2,1,2,electronic
19,18,19,5,4,5,5,8,17,8,6,8,18,electronic
5,4,6,4,15,7,12,6,4,11,9,10,3,electronic
18,1,16,1,20,7,14,8,20,8,5,3,14,electronic
1,20,19,9,14,10,15,16,20,19,16,5,5,electronic
9,20,20,12,1,1,1,1,15,18,18,20,20,electronic
18,10,14,2,15,1,17,6,1,2,20,18,19,electronic
15,10,19,3,9,10,7,6,7,2,1,4,13,electronic
4,6,15,7,11,16,17,18,16,19,18,16,13,hip-hop
9,11,7,3,12,4,12,11,2,18,6,1,19,electronic
12,18,16,16,14,17,15,5,12,17,15,16,17,folk/singer-songwriter
15,17,8,18,9,9,10,13,19,19,19,12,19,folk/singer-songwriter
2,3,7,7,17,20,14,5,19,7,3,5,4,rock
6,7,10,3,17,4,3,4,2,4,3,2,3,rock
7,18,15,18,15,12,4,7,11,4,3,2,3,rock
5,14,18,17,20,17,14,7,14,15,16,20,4,rock
1,15,19,3,16,8,3,12,4,14,1,6,16,rock
13,10,12,15,6,14,8,15,2,18,19,4,7,rock/psych-rock
5,11,17,17,20,18,15,7,13,14,16,20,5,rock
4,20,17,11,18,20,17,19,17,18,15,16,11,rock
13,14,20,5,20,20,17,13,11,17,16,8,15,rock
6,9,18,18,20,17,13,9,16,12,18,20,3,rock
5,13,13,20,20,20,17,11,19,19,15,16,7,rock
1,19,20,14,19,20,19,19,17,16,6,6,13,rock
3,9,16,17,20,18,17,5,13,13,16,19,1,rock
5,5,3,10,14,18,14,7,19,19,19,19,20,rock
8,6,17,13,20,17,13,5,9,14,19,20,2,rock
11,7,11,19,20,20,8,1,10,15,14,14,16,rock
9,20,15,12,18,20,19,18,18,19,9,7,3,rock
7,16,18,4,20,19,12,8,6,16,10,5,15,rock
6,20,19,14,20,20,16,17,17,14,14,10,6,rock
1,12,19,5,19,15,4,10,4,15,9,9,17,rock
5,18,9,7,17,16,17,11,20,16,8,7,10,rock
12,4,10,5,5,14,5,6,12,16,15,14,8,rock
1,9,8,17,16,19,15,13,18,19,8,15,8,rock
1,6,15,16,4,17,18,4,19,7,8,8,12,rock/punk/electro-punk
1,2,19,16,2,16,20,3,20,5,12,12,19,rock/punk/electro-punk
2,2,18,6,3,18,19,3,20,2,7,4,15,rock/punk/electro-punk
4,5,13,6,15,4,13,17,10,11,4,8,8,folk
11,14,18,12,14,10,18,8,4,16,8,6,8,folk
15,6,13,3,12,2,9,6,13,3,7,13,18,folk
3,12,18,10,6,12,7,13,16,6,13,9,18,rock
2,11,18,5,5,6,15,9,12,3,9,9,18,rock
2,8,11,3,3,7,9,12,16,8,16,11,14,rock
4,10,14,5,4,10,6,8,12,6,15,11,18,rock
2,6,17,4,3,4,11,14,11,10,15,6,16,rock
12,4,16,12,4,14,20,7,17,20,6,16,1,rock
9,6,15,12,6,15,17,3,9,11,17,18,7,rock
10,5,19,13,14,16,20,1,14,7,18,8,8,rock
3,7,11,8,16,3,9,5,2,1,20,20,20,folk
13,11,18,16,12,17,17,2,8,4,18,10,11,rock
14,5,11,13,3,15,20,5,16,19,2,7,1,rock
1,16,4,18,19,20,15,9,4,8,6,20,20,rock
18,4,20,5,17,9,18,2,1,1,2,4,1,rock
3,10,5,8,13,16,13,4,13,13,9,9,15,rock
2,15,6,12,5,7,2,9,9,18,12,11,11,rock
18,1,20,1,20,17,17,8,7,17,4,2,4,rock
16,3,8,3,16,2,3,3,3,7,5,16,20,rock
1,12,8,19,15,17,13,15,15,13,15,17,15,electronic
1,19,18,20,17,20,20,19,15,20,19,18,19,electronic
4,15,3,13,7,13,8,8,11,11,4,12,15,electronic
3,14,6,13,12,16,13,15,13,13,10,10,12,electronic
1,9,2,8,6,11,8,8,7,11,12,13,9,electronic
1,10,2,10,4,9,8,11,6,12,8,10,4,electronic
1,15,2,17,13,18,9,9,10,16,18,4,18,electronic
8,15,5,12,10,11,6,12,17,18,13,15,17,electronic
1,9,2,4,4,10,8,11,9,12,17,16,11,electronic
4,18,9,18,13,13,12,14,13,15,13,9,12,electronic
3,12,12,3,6,3,11,3,18,5,2,2,12,jazz
20,20,20,20,20,20,20,20,20,20,20,20,20,electronic
1,11,2,10,4,7,7,7,10,12,12,16,13,electronic
11,20,17,20,19,20,17,17,19,20,14,16,16,electronic
4,10,9,6,5,2,5,3,17,16,13,18,18,jazz
1,6,19,5,4,9,9,13,5,8,12,4,15,rock
4,6,20,3,7,15,10,12,9,9,10,13,14,rock
3,6,12,14,11,3,12,3,5,18,13,14,7,jazz
1,8,11,14,7,3,8,5,15,14,14,18,20,jazz
12,16,16,14,7,11,8,19,13,18,4,18,12,rock/indie-rock
14,3,4,5,10,4,1,1,4,4,17,18,4,electronic
16,2,15,5,10,6,9,3,11,6,4,5,6,electronic
20,4,11,6,9,8,3,10,17,10,19,8,18,electronic
9,13,3,3,3,1,5,3,1,1,1,4,1,electronic
2,20,13,19,11,15,17,6,14,19,20,19,18,electronic
10,19,17,17,13,14,11,13,17,15,15,16,14,electronic
18,20,14,17,19,16,18,19,16,6,2,4,19,electronic
14,8,5,10,16,3,18,19,20,12,2,5,17,electronic
2,9,3,9,10,4,9,12,16,11,12,15,11,electronic
1,4,2,4,2,1,2,3,4,10,20,20,20,electronic
16,15,8,2,2,1,2,11,2,1,16,18,6,electronic
2,20,14,19,11,15,17,6,15,19,20,19,19,electronic
9,18,10,16,15,12,17,17,17,15,13,17,18,electronic
4,20,15,20,20,16,19,19,17,19,20,20,17,electronic
7,2,15,5,15,14,19,16,4,17,10,5,16,rock/punk
16,20,11,20,7,19,16,10,8,14,6,11,8,rock/psych-rock
4,4,18,13,7,12,14,3,18,20,10,10,20,rock/psych-rock
6,5,19,20,13,16,16,7,15,20,15,17,20,rock/psych-rock
8,8,16,8,15,13,16,16,13,8,12,5,16,rock/punk
7,1,15,13,8,19,20,6,20,20,11,12,20,rock/psych-rock
9,6,7,3,8,2,5,4,11,8,9,5,12,rock/psych-rock
13,1,1,1,4,2,4,4,13,2,1,2,8,rock/psych-rock
4,3,15,12,12,9,14,18,16,12,12,6,6,rock/psych-rock
5,5,3,3,2,6,17,10,18,7,3,3,10,rock/psych-rock
5,6,5,3,8,9,16,13,18,18,17,15,19,rock/psych-rock
2,12,12,16,18,13,13,17,13,17,9,19,5,rock
3,15,4,18,13,13,8,17,9,13,13,20,16,rock
1,10,5,15,14,5,15,19,18,15,14,9,10,rock
2,13,6,18,17,17,17,13,6,19,17,18,13,rock
10,2,19,3,5,4,5,2,13,18,12,3,15,rock/post-rock
4,10,7,15,9,11,8,11,5,16,6,12,9,rock
3,16,4,11,14,13,13,14,7,10,6,19,11,rock
1,14,5,11,16,11,6,7,12,9,4,19,5,rock
11,9,3,9,9,15,7,8,19,6,8,20,6,rock
3,11,3,15,18,12,12,18,18,16,7,13,6,rock
2,20,12,4,8,20,20,20,20,1,1,15,18,rock
20,4,16,2,16,3,18,2,1,20,10,2,3,rock/post-rock
16,7,20,20,2,5,7,16,13,15,4,17,16,folk/psych-folk
16,14,16,16,2,2,7,16,6,10,8,4,7,folk/psych-folk
14,15,16,19,11,7,8,14,10,13,6,8,16,folk/psych-folk
16,13,8,13,8,2,5,9,16,10,15,6,11,folk/psych-folk
15,1,2,2,4,1,17,1,1,20,2,1,1,folk/psych-folk
18,10,19,20,17,20,20,16,18,13,1,1,2,folk/psych-folk
13,11,9,13,10,15,6,7,8,13,10,9,7,folk/psych-folk
14,6,9,6,3,4,6,7,7,7,15,10,8,electronic/ambient_electronic
19,15,14,13,15,4,6,2,5,4,11,6,10,electronic/ambient_electronic
19,1,20,4,12,5,8,20,20,20,20,20,20,electronic/ambient_electronic
20,9,18,1,15,20,20,3,3,1,3,17,7,electronic/ambient_electronic
19,20,18,19,14,2,1,2,15,18,20,20,20,electronic/ambient_electronic
19,11,20,2,12,1,20,1,3,19,10,20,5,electronic/ambient_electronic
20,9,5,11,20,6,2,1,2,4,4,4,9,electronic/ambient_electronic
17,3,16,1,1,19,19,6,1,1,10,7,20,electronic/ambient_electronic
20,8,11,16,17,7,12,11,16,7,9,12,16,electronic/ambient_electronic
9,4,5,5,7,12,9,17,10,9,16,19,12,pop
6,3,5,5,6,15,4,8,13,17,12,7,16,pop
2,3,19,20,10,15,3,19,13,9,12,4,12,rock
8,12,5,12,5,8,6,18,7,9,7,5,5,rock
6,8,20,14,12,10,11,2,13,7,1,13,1,rock
5,9,19,14,10,11,9,6,18,11,3,17,8,rock
8,9,3,13,3,5,5,16,5,10,13,10,7,rock
7,7,19,14,7,9,11,6,19,11,3,17,5,rock
2,2,20,18,4,17,5,17,3,16,18,6,17,rock
8,6,4,7,3,12,4,20,14,5,3,3,2,rock
2,4,18,20,8,17,4,18,14,16,17,9,19,rock
8,7,2,12,4,6,9,19,10,16,14,4,4,rock
11,9,19,11,14,14,17,12,17,12,5,19,7,rock
8,9,2,13,5,8,10,18,5,13,11,8,5,rock
2,3,19,20,8,17,4,16,9,16,12,2,14,rock
7,10,18,14,11,11,13,7,19,9,2,13,6,rock
4,2,19,19,6,13,6,18,7,18,19,6,10,rock
13,6,2,14,2,4,12,18,8,19,13,7,4,rock
11,5,18,13,13,14,14,6,18,7,2,14,10,rock
9,7,17,12,12,14,14,9,19,11,3,16,5,rock
10,5,3,9,2,5,10,17,4,15,15,6,4,rock
3,2,19,19,6,16,4,18,10,16,14,2,13,rock
5,9,15,6,9,5,20,18,15,20,5,13,2,rock
11,6,19,15,10,10,8,5,18,12,3,17,2,rock
3,6,18,19,10,18,7,18,12,10,8,2,14,rock
6,2,19,19,6,13,2,12,9,20,12,2,16,rock
10,11,17,15,9,8,11,4,17,10,10,17,13,rock
13,10,9,7,12,10,14,17,16,20,9,16,10,rock
5,1,19,19,8,18,3,17,4,11,11,3,7,rock
9,17,7,4,11,11,16,16,16,20,12,18,13,rock
1,9,13,14,12,20,5,13,15,14,10,19,4,electronic
2,7,1,16,16,5,20,8,10,7,18,15,2,electronic
10,9,3,8,11,5,12,15,18,18,18,13,17,electronic
4,7,1,11,18,5,4,19,4,20,6,10,12,electronic
6,10,5,14,13,13,11,14,18,19,20,19,14,electronic
2,19,10,6,17,9,16,5,2,5,16,3,9,electronic
2,16,7,10,15,13,14,16,14,8,14,17,14,electronic
1,6,12,14,20,19,5,4,9,15,14,16,7,rock/punk
8,10,2,11,6,12,7,14,12,12,14,13,2,pop
2,13,4,8,15,7,7,15,14,12,12,11,14,pop
3,11,4,12,8,15,10,19,20,17,6,15,5,pop
1,9,11,9,7,18,10,9,19,19,11,11,5,pop
2,6,9,11,7,10,9,8,16,8,9,8,5,pop
12,7,2,10,15,14,9,8,8,7,8,11,8,pop
3,5,10,12,2,14,7,12,18,12,4,13,8,pop
2,9,6,8,9,12,14,19,18,11,11,17,8,pop
9,11,1,5,1,1,3,1,8,14,19,2,19,pop
